"","range.data.ori.NU_IDADE","range.data.ori.TP_SEXO","range.data.ori.TP_COR_RACA","range.data.ori.TP_ESCOLA","range.data.ori.Q006","range.data.ori.Q027","range.data.ori.NU_NOTA_CN","range.data.ori.NU_NOTA_CH","range.data.ori.NU_NOTA_LC","range.data.ori.NU_NOTA_MT","range.data.ori.NU_NOTA_REDACAO"
"1",13,1,1,2,1,1,0,0,0,0,0
"2",69,2,5,4,17,5,811.6,845.2,731.8,984,1000
