"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"136",1,10,13,18,22,28,34,39,43,48
"137",1,10,13,17,24,28,34,39,44,48
"138",1,10,12,17,22,29,34,39,43,48
"139",1,10,13,18,24,29,34,39,44,48
"140",1,10,14,17,24,29,34,39,44,48
"141",1,10,13,16,22,28,34,39,44,48
"142",1,10,12,19,24,29,34,38,43,48
"143",1,10,13,17,24,29,34,40,44,49
"144",1,10,12,17,24,28,34,39,44,49
"145",1,10,13,16,25,28,33,39,44,49
"146",1,10,13,18,24,30,34,39,44,50
"147",1,10,12,18,24,29,34,39,44,50
"148",1,10,13,18,25,30,34,40,45,50
"149",1,10,13,20,24,29,34,39,43,49
"150",1,10,13,19,24,29,35,39,44,49
"151",1,10,12,17,22,29,33,39,43,48
"152",1,10,13,18,22,29,33,39,43,48
"153",1,10,13,18,25,29,34,39,43,48
"154",1,10,13,16,22,29,33,39,44,48
"155",1,10,13,16,23,28,33,38,43,48
"156",1,10,12,19,24,29,33,39,44,49
"157",1,10,12,16,24,29,34,39,44,50
"158",1,10,13,17,24,30,34,39,44,49
"159",1,10,13,18,24,29,34,40,44,49
"160",1,10,12,19,24,29,34,39,44,49
"161",1,10,13,20,24,29,34,39,44,50
"162",1,10,12,18,24,30,34,39,45,49
"163",1,10,13,19,22,29,34,39,44,49
"164",1,10,13,17,24,28,34,39,44,47
"165",1,10,13,16,24,29,33,39,43,49
"166",1,10,13,16,22,28,34,39,43,48
"167",1,10,13,19,25,29,34,39,43,48
"168",1,10,12,16,22,29,34,39,44,49
"169",1,10,12,20,24,29,34,39,43,49
"170",1,10,13,16,24,29,34,39,43,49
"171",1,10,12,17,24,29,34,39,44,50
"172",1,10,13,18,24,29,34,39,44,50
"173",1,10,13,17,22,29,34,39,43,49
"174",1,10,14,17,24,29,34,39,44,49
"175",1,10,15,17,22,28,33,39,43,48
"176",1,10,13,19,25,29,34,40,44,49
"177",1,10,12,16,22,29,34,39,43,49
"178",1,10,12,16,22,28,33,38,43,48
"179",1,10,13,18,22,29,34,39,43,49
"180",1,10,13,19,22,28,34,39,43,48
"181",1,10,12,16,24,29,33,38,43,49
"182",1,10,12,17,24,28,33,38,43,49
"183",1,10,13,16,22,29,33,38,43,48
"184",1,10,13,18,25,29,34,39,44,49
"185",1,10,13,18,24,29,34,40,44,50
"186",1,10,12,17,24,29,33,39,43,49
"187",1,10,12,20,24,30,35,39,44,50
"188",1,10,12,17,24,28,34,38,44,48
