"","V1"
"1",0.586178861788618
"2",0.561760530052058
"3",0.657723577235772
"4",0.642857142857143
"5",0.714285714285714
"6",0.57466732380483
"7",0.603170265099754
"8",0.629436819687648
"9",0.575020497403662
"10",0.662195121951219
"11",0.647444657010112
"12",0.5
"13",0.648780487804878
"14",0.69308554249795
"15",0.5
"16",0.594715447154472
"17",0.5
"18",0.576145884672252
"19",0.5
"20",0.515524889107935
"21",0.714285714285714
"22",0.543124691966486
"23",0.560867422375555
"24",0.55608140085187
"25",0.507515714676141
"26",0.580581567274519
"27",0.535731187884524
"28",0.571428571428571
"29",0.642857142857143
"30",0.61656190215906
"31",0.571428571428571
"32",0.5
"33",0.517274017983909
"34",0.642857142857143
"35",0.511341896693085
"36",0.5
"37",0.547967479674797
"38",0.5
"39",0.5
"40",0.515380974917179
"41",0.649631046734081
"42",0.5
"43",0.5
"44",0.5
"45",0.5
"46",0.5
"47",0.642857142857143
"48",0.5
"49",0.681060399016124
"50",0.642857142857143
"51",0.642857142857143
"52",0.5
"53",0.5
"54",0.528559715769335
"55",0.5
"56",0.613109906357812
"57",0.508062312107133
"58",0.504065040650406
"59",0.595791199781361
"60",0.601219512195122
"61",0.513414634146341
"62",0.699006152389967
"63",0.5
"64",0.5
"65",0.5
"66",0.5
"67",0.5
"68",0.5
"69",0.5
"70",0.5
"71",0.5
"72",0.582113821138211
"73",0.642857142857143
"74",0.503252032520325
"75",0.5
"76",0.642857142857143
"77",0.5
"78",0.5
"79",0.5
"80",0.571428571428571
"81",0.635772357723577
"82",0.54140475539765
"83",0.5
"84",0.5
"85",0.626597255087553
"86",0.5
"87",0.5
"88",0.5
"89",0.5
"90",0.714285714285714
"91",0.540660423854115
"92",0.530081300813008
"93",0.641869918699187
"94",0.599593495934959
"95",0.642857142857143
"96",0.642857142857143
"97",0.5
"98",0.53780487804878
"99",0.642857142857143
"100",0.529578797917652
"101",0.5
"102",0.573654003826182
"103",0.560569105691057
"104",0.510975609756098
"105",0.532520325203252
"106",0.5
"107",0.642857142857143
"108",0.5
"109",0.543776620918126
"110",0.593058212626401
"111",0.514434453383814
"112",0.563821138211382
"113",0.5
"114",0.5
"115",0.5
"116",0.5
"117",0.501219512195122
"118",0.5
"119",0.5
"120",0.542276422764227
"121",0.5
"122",0.522000546597431
"123",0.5
"124",0.642857142857143
"125",0.5
"126",0.511582060128142
"127",0.714285714285714
"128",0.610002732987155
"129",0.572203055692459
"130",0.5
"131",0.523426407950781
"132",0.642857142857143
"133",0.590650406504065
"134",0.5
"135",0.502602934216754
"136",0.581164221486039
"137",0.521533364884051
"138",0.5
"139",0.571428571428571
"140",0.5
"141",0.53739837398374
"142",0.610276031702651
"143",0.622847772615469
"144",0.531471840984382
"145",0.5
"146",0.572645527685755
"147",0.66411587865537
"148",0.5
"149",0.714285714285714
"150",0.500709891150024
"151",0.571428571428571
"152",0.501232134056185
"153",0.5
"154",0.5
"155",0.5
"156",0.5
"157",0.5
"158",0.5
"159",0.5
"160",0.701219512195122
"161",0.540584859251161
"162",0.552845528455284
"163",0.5
"164",0.5
"165",0.5
"166",0.508132084770823
"167",0.61239943208708
"168",0.719829626123994
"169",0.642857142857143
"170",0.5
"171",0.504878048780488
"172",0.536585365853659
"173",0.629910080454331
"174",0.714285714285714
"175",0.571428571428571
"176",0.535392183656737
"177",0.5
"178",0.55199605717102
"179",0.610033128253668
"180",0.5
"181",0.5
"182",0.642857142857143
"183",0.5
"184",0.5
"185",0.5
"186",0.579103006407097
"187",0.562233790818741
"188",0.506422519814157
"189",0.515853658536585
"190",0.714285714285714
"191",0.508755324183626
"192",0.579103006407097
"193",0.524396254312469
"194",0.624390243902439
"195",0.5
"196",0.5
"197",0.5
"198",0.714285714285714
"199",0.5
"200",0.506504065040651
"201",0.5
"202",0.5
"203",0.502710694923608
"204",0.5
"205",0.618748291883028
"206",0.5
"207",0.5
"208",0.5
"209",0.5
"210",0.5
"211",0.566019876952201
"212",0.5
"213",0.5
"214",0.544715447154472
"215",0.642857142857143
"216",0.5
"217",0.5
"218",0.539218365673681
"219",0.5
"220",0.521180650450943
"221",0.516510596352883
"222",0.542631838344012
"223",0.604065040650406
"224",0.527642276422764
"225",0.591418420333425
"226",0.626016260162602
"227",0.518220539517274
"228",0.539181862986693
"229",0.5
"230",0.5
"231",0.519918699186992
"232",0.5
"233",0.5
"234",0.590650406504065
"235",0.532281912272055
"236",0.501656412683388
"237",0.509117792015771
"238",0.513414634146341
"239",0.539837398373983
"240",0.5
"241",0.513060620995564
"242",0.714285714285714
"243",0.578324656885944
"244",0.518292682926829
"245",0.511089206505668
"246",0.5
"247",0.639375295787979
"248",0.563653573118788
"249",0.558536585365854
"250",0.5
"251",0.5
"252",0.517081169718502
"253",0.5
"254",0.51260162601626
"255",0.5
"256",0.642857142857143
"257",0.642857142857143
"258",0.571428571428571
"259",0.5
"260",0.55229531471841
"261",0.5
"262",0.595835305253195
"263",0.528559715769335
"264",0.5
"265",0.532659196501776
"266",0.642857142857143
"267",0.5
"268",0.586002957121735
"269",0.5
"270",0.5
"271",0.642857142857143
"272",0.5
"273",0.5
"274",0.553474618038443
"275",0.5
"276",0.589682915286323
"277",0.532774765894529
"278",0.515447154471545
"279",0.714285714285714
"280",0.5
"281",0.5
"282",0.558943089430894
"283",0.5
"284",0.589837398373984
"285",0.5
"286",0.642857142857143
"287",0.542138984721538
"288",0.570231641202563
"289",0.696747967479675
"290",0.5
"291",0.515447154471544
"292",0.5
"293",0.619512195121951
"294",0.642857142857143
"295",0.565546616185518
"296",0.714285714285714
"297",0.519105691056911
"298",0.548373983739837
"299",0.642857142857143
"300",0.5
"301",0.5
"302",0.603990161246242
"303",0.54953178905865
"304",0.529106313200328
"305",0.5
"306",0.5
"307",0.551626016260163
"308",0.51848201084278
"309",0.562345983242977
"310",0.5
"311",0.5
"312",0.5
"313",0.571428571428571
"314",0.5
"315",0.5
"316",0.5
"317",0.5
"318",0.5
"319",0.540650406504065
"320",0.59733859043864
"321",0.533760473139477
"322",0.553429898879475
"323",0.531471840984382
"324",0.562448756490845
"325",0.5
"326",0.581033069144575
"327",0.642857142857143
"328",0.531945101751065
"329",0.569738787580088
"330",0.5
"331",0.516510596352883
"332",0.526367668802366
"333",0.52094627895515
"334",0.660672030288689
"335",0.5
"336",0.5
"337",0.5
"338",0.582520325203252
"339",0.5
"340",0.568734626947253
"341",0.620009857072449
"342",0.621864647420729
"343",0.5
"344",0.5
"345",0.514634146341463
"346",0.5
"347",0.508755324183625
"348",0.5
"349",0.633506422519814
"350",0.5
"351",0.509155506969117
"352",0.563331690487925
"353",0.556910569105691
"354",0.539181862986693
"355",0.5
"356",0.5
"357",0.5
"358",0.5
"359",0.5
"360",0.552845528455284
"361",0.538945066958186
"362",0.552845528455284
"363",0.525874815179892
"364",0.688617886178862
"365",0.5
"366",0.539430894308943
"367",0.507146377525875
"368",0.553474618038443
"369",0.520453425332676
"370",0.571428571428571
"371",0.622357723577236
"372",0.550970210440011
"373",0.541410317084714
"374",0.571428571428571
"375",0.575567094834654
"376",0.5
"377",0.5
"378",0.5
"379",0.516666666666667
"380",0.544249881684808
"381",0.536212079803224
"382",0.624704212020823
"383",0.5
"384",0.50418925579103
"385",0.59733859043864
"386",0.702318977756744
"387",0.571428571428571
"388",0.705158542356839
"389",0.642857142857143
"390",0.571428571428571
"391",0.642857142857143
"392",0.500406504065041
"393",0.5
"394",0.571951219512195
"395",0.714285714285714
"396",0.699644711669855
"397",0.5
"398",0.5
"399",0.5
"400",0.5
"401",0.500813008130081
"402",0.714285714285714
"403",0.571428571428571
"404",0.5
"405",0.5
"406",0.552610002732987
"407",0.5
"408",0.5
"409",0.5
"410",0.5
"411",0.556436184749932
"412",0.577851396119262
"413",0.505284552845528
"414",0.610549330418147
"415",0.5
"416",0.508062312107133
"417",0.5
"418",0.607193563653573
"419",0.618531296205027
"420",0.532659196501776
"421",0.642857142857143
"422",0.51348793185045
"423",0.5
"424",0.565073355418836
"425",0.5
"426",0.5
"427",0.638211382113821
"428",0.5
"429",0.565853658536585
"430",0.500246426811237
"431",0.632276384287742
"432",0.5
"433",0.609659931000493
"434",0.714285714285714
"435",0.5
"436",0.566548237223285
"437",0.503696402168556
"438",0.610822629133643
"439",0.5
"440",0.5
"441",0.601803771522273
"442",0.5
"443",0.568188029516261
"444",0.571428571428571
"445",0.5
"446",0.591145121617928
"447",0.67250354945575
"448",0.557974443918599
"449",0.5
"450",0.5
"451",0.5
"452",0.52520325203252
"453",0.657466732380483
"454",0.538398469527193
"455",0.642857142857143
"456",0.51380158513255
"457",0.642857142857143
"458",0.5
"459",0.519105691056911
"460",0.5
"461",0.52932479053721
"462",0.5
"463",0.714285714285714
"464",0.510175106483672
"465",0.522764227642277
"466",0.521138211382114
"467",0.5
"468",0.5
"469",0.700191309100847
"470",0.5
"471",0.516510596352883
"472",0.50970210440011
"473",0.5
"474",0.550696911724514
"475",0.583219458868544
"476",0.509155506969117
"477",0.571428571428572
"478",0.5
"479",0.561760530052058
"480",0.574538570752485
"481",0.5
"482",0.5
"483",0.642857142857143
"484",0.5
"485",0.508536585365854
"486",0.6549929010885
"487",0.571428571428571
"488",0.538671768242689
"489",0.609729434271659
"490",0.5
"491",0.546050833561082
"492",0.514621481279038
"493",0.516800757217227
"494",0.5
"495",0.619918699186992
"496",0.699918010385351
"497",0.676829268292683
"498",0.5
"499",0.533333333333334
"500",0.561360275998029
"501",0.550813008130081
"502",0.534552845528455
"503",0.522820442743919
"504",0.5
"505",0.5
"506",0.5
"507",0.526016260162602
"508",0.5
"509",0.52520325203252
"510",0.5
"511",0.5
"512",0.550423613009019
"513",0.545196403218173
"514",0.5
"515",0.5
"516",0.5
"517",0.527739819622848
"518",0.538689009364219
"519",0.5
"520",0.5
"521",0.603658536585366
"522",0.5
"523",0.544110399211434
"524",0.516327496450544
"525",0.55452309374146
"526",0.5
"527",0.5
"528",0.5
"529",0.5
"530",0.536204448651207
"531",0.572764227642276
"532",0.514894779994534
"533",0.5
"534",0.5
"535",0.513008130081301
"536",0.5
"537",0.5
"538",0.668309512074913
"539",0.538671768242689
"540",0.5
"541",0.623577235772358
"542",0.507317073170732
"543",0.5
"544",0.519540858157967
"545",0.5
"546",0.5
"547",0.55725608089642
"548",0.714285714285714
"549",0.5
"550",0.502032520325203
"551",0.528632276384287
"552",0.501183151916706
"553",0.585132549877015
"554",0.577235772357723
"555",0.571428571428571
"556",0.521544715447154
"557",0.5310194042088
"558",0.55040227165168
"559",0.5
"560",0.513414634146341
"561",0.511615195408581
"562",0.5
"563",0.542830099384761
"564",0.560262366766876
"565",0.514227642276423
"566",0.571428571428571
"567",0.5
"568",0.504022716516801
"569",0.519105691056911
"570",0.620009857072449
"571",0.630500136649358
"572",0.5
"573",0.51256776737309
"574",0.545196403218173
"575",0.5
"576",0.5
"577",0.642857142857143
"578",0.571428571428571
"579",0.542224651544138
"580",0.528833014484832
"581",0.541404755397649
"582",0.601987695220066
"583",0.515040650406504
"584",0.669855151680787
"585",0.5
"586",0.602439024390244
"587",0.515380974917179
"588",0.517479674796748
"589",0.5
"590",0.51348793185045
"591",0.5
"592",0.537210448496796
"593",0.5
"594",0.5
"595",0.607193563653573
"596",0.5
"597",0.575958353052532
"598",0.615853658536585
"599",0.5
"600",0.615447154471545
"601",0.5
"602",0.619517003449976
"603",0.535118884941241
"604",0.5
"605",0.5
"606",0.53780487804878
"607",0.571428571428571
"608",0.505667816658452
"609",0.5
"610",0.642857142857143
"611",0.5
"612",0.520087455588959
"613",0.642857142857143
"614",0.541463414634146
"615",0.5
"616",0.5
"617",0.516260162601626
"618",0.642857142857143
"619",0.5
"620",0.512435091555069
"621",0.556436184749932
"622",0.506160670280927
"623",0.550150314293523
"624",0.641695416461311
"625",0.581567274519468
"626",0.5
"627",0.522006625650734
"628",0.654471544715447
"629",0.611452910553715
"630",0.544684339983602
"631",0.5
"632",0.5
"633",0.5
"634",0.547562707051585
"635",0.558943089430894
"636",0.571428571428571
"637",0.502439024390244
"638",0.528455284552845
"639",0.516260162601626
"640",0.572014211533206
"641",0.642857142857143
"642",0.5
"643",0.642857142857143
"644",0.5
"645",0.5
"646",0.5
"647",0.546747967479675
"648",0.50609756097561
"649",0.5
"650",0.516260162601626
"651",0.505284552845528
"652",0.5
"653",0.5
"654",0.534253326761952
"655",0.5
"656",0.501776441650724
"657",0.5
"658",0.5
"659",0.5
"660",0.5
"661",0.539181862986693
"662",0.502845528455285
"663",0.560262366766876
"664",0.510795299262093
"665",0.51869918699187
"666",0.5
"667",0.547154471544716
"668",0.589505329324952
"669",0.547089446284903
"670",0.526265972550875
"671",0.571428571428571
"672",0.5
"673",0.577131591917201
"674",0.5
"675",0.515168078710031
"676",0.506422519814157
"677",0.571428571428571
"678",0.642857142857143
"679",0.540463795551348
"680",0.626400655916917
"681",0.546142924751538
"682",0.5
"683",0.595517901065865
"684",0.528632276384287
"685",0.571428571428571
"686",0.507335541883578
"687",0.5
"688",0.518994260726974
"689",0.680630852636767
"690",0.641869918699187
"691",0.602845528455284
"692",0.642857142857143
"693",0.56412683388547
"694",0.528831936914736
"695",0.528833014484832
"696",0.571428571428571
"697",0.571428571428571
"698",0.571428571428571
"699",0.576145884672252
"700",0.619024149827502
"701",0.542631838344012
"702",0.593942262186465
"703",0.714285714285714
"704",0.555284552845528
"705",0.595528455284553
"706",0.636991869918699
"707",0.642857142857143
"708",0.605224248398226
"709",0.571428571428571
"710",0.622357723577236
"711",0.624390243902439
"712",0.714285714285714
"713",0.603252833908329
"714",0.655370319759498
"715",0.659196501776442
"716",0.621544715447155
"717",0.632113821138212
"718",0.639375295787979
"719",0.640795078088026
"720",0.642857142857143
"721",0.687072970757037
"722",0.65609756097561
"723",0.714285714285714
"724",0.711680630852637
