"","rule.1","rule.2","rule.3","rule.4","rule.5","rule.6","rule.7","rule.8","rule.9","rule.10","rule.11","rule.12","rule.13","rule.14","rule.15","rule.16","rule.17","rule.18","rule.19","rule.20","rule.21","rule.22","rule.23","rule.24","rule.25","rule.26","rule.27","rule.28","rule.29","rule.30","rule.31","rule.32","rule.33","rule.34","rule.35","rule.36","rule.37","rule.38","rule.39","rule.40"
"39","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","v.large","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","v.large","THEN","NU_NOTA_REDACAO","is","v.large"
"40","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","small","and","Q006","is","vv.large","and","Q027","is","vv.large","and","NU_NOTA_CN","is","medium","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","small","THEN","NU_NOTA_REDACAO","is","medium"
"41","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","large","and","Q027","is","v.large","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","v.large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","large","THEN","NU_NOTA_REDACAO","is","large"
"42","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","medium","and","Q027","is","v.large","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","medium","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","large"
"43","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","medium","and","Q027","is","small","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","large","THEN","NU_NOTA_REDACAO","is","medium"
"44","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","v.small","and","Q027","is","small","and","NU_NOTA_CN","is","medium","and","NU_NOTA_CH","is","medium","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","small","THEN","NU_NOTA_REDACAO","is","medium"
"45","IF","NU_IDADE","is","vv.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","vv.small","and","Q027","is","small","and","NU_NOTA_CN","is","medium","and","NU_NOTA_CH","is","medium","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","large"
"46","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","small","and","Q006","is","small","and","Q027","is","vv.large","and","NU_NOTA_CN","is","v.large","and","NU_NOTA_CH","is","v.large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","large","THEN","NU_NOTA_REDACAO","is","v.large"
"47","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","vv.large","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","small"
"48","IF","NU_IDADE","is","vv.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","v.small","and","Q027","is","small","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","medium","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","medium"
"49","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","small","and","NU_NOTA_CN","is","medium","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","medium"
"50","IF","NU_IDADE","is","v.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","small","and","Q006","is","small","and","Q027","is","v.large","and","NU_NOTA_CN","is","v.large","and","NU_NOTA_CH","is","large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","large"
"51","IF","NU_IDADE","is","vv.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","v.large","and","NU_NOTA_CN","is","medium","and","NU_NOTA_CH","is","medium","and","NU_NOTA_LC","is","large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","large"
"52","IF","NU_IDADE","is","vv.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","v.large","and","NU_NOTA_CN","is","v.large","and","NU_NOTA_CH","is","v.large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","v.large","THEN","NU_NOTA_REDACAO","is","vv.large"
"53","IF","NU_IDADE","is","vv.small","and","TP_SEXO","is","vv.large","and","TP_COR_RACA","is","medium","and","Q006","is","small","and","Q027","is","vv.large","and","NU_NOTA_CN","is","large","and","NU_NOTA_CH","is","v.large","and","NU_NOTA_LC","is","v.large","and","NU_NOTA_MT","is","medium","THEN","NU_NOTA_REDACAO","is","v.large"
