"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"136",1,14,17,23,31,41,48,55,61,68
"137",2,14,17,22,32,40,47,54,61,68
"138",1,14,17,23,31,40,47,55,60,67
"139",2,14,17,22,31,39,47,54,60,67
"140",2,14,18,22,31,39,46,53,59,66
"141",1,14,18,28,34,41,48,55,62,68
"142",2,14,18,27,34,41,47,55,61,68
"143",2,14,18,23,35,40,48,55,60,69
"144",2,14,17,24,34,40,47,54,61,68
"145",2,14,17,23,34,40,48,54,61,69
"146",2,14,17,24,34,40,47,54,60,67
"147",1,14,18,23,35,41,48,55,61,69
"148",1,14,18,23,32,39,47,54,60,68
"149",1,14,18,27,34,41,48,54,62,69
"150",2,14,18,23,34,40,47,55,61,68
"151",1,14,17,23,34,41,47,55,61,69
"152",2,14,18,26,34,39,47,54,60,67
"153",2,14,18,23,34,39,46,53,59,67
"154",1,14,17,23,31,40,47,54,61,67
"155",1,14,17,25,31,39,47,55,61,69
"156",1,14,18,27,34,41,47,55,62,68
"157",1,14,18,24,31,40,48,54,61,68
"158",1,14,18,28,34,40,47,54,61,67
"159",1,14,18,26,34,41,48,55,62,70
"160",1,14,17,27,34,40,47,54,61,69
"161",2,14,18,24,34,39,46,53,60,67
"162",1,14,18,26,34,40,47,55,61,69
"163",2,14,17,25,31,40,47,55,60,68
"164",2,14,17,24,31,39,47,54,60,67
"165",1,14,18,24,34,41,48,55,61,69
"166",2,14,18,24,35,40,47,54,60,67
"167",1,14,18,24,34,40,47,54,60,68
"168",2,14,17,25,34,40,47,54,61,68
"169",1,14,18,24,31,40,47,54,61,69
"170",1,14,18,25,34,41,47,54,60,68
"171",1,14,17,24,34,41,48,54,62,69
"172",1,14,17,23,31,40,47,55,60,68
"173",2,14,18,23,31,39,46,54,60,68
"174",2,14,18,27,34,41,46,55,62,69
"175",1,14,18,24,35,41,48,55,61,68
"176",2,14,18,24,35,41,48,55,62,68
"177",2,14,18,25,34,41,47,55,62,69
"178",2,14,18,25,34,41,47,55,61,69
"179",1,14,17,22,31,40,47,54,60,67
"180",2,14,18,23,34,40,47,54,59,67
"181",1,14,17,28,34,41,48,55,62,68
"182",2,14,17,22,35,40,46,54,59,67
"183",2,14,18,24,32,40,47,54,61,67
"184",2,14,17,24,34,40,47,55,61,68
"185",2,14,18,23,34,41,48,55,62,69
"186",2,14,18,24,31,40,47,54,59,67
"187",1,14,18,22,31,40,46,54,60,67
"188",1,14,17,22,34,40,47,55,61,68
"189",2,14,17,24,35,39,47,54,59,67
"190",1,14,17,23,32,40,46,54,60,68
"191",2,14,18,25,34,39,46,53,60,67
"192",1,14,18,24,35,41,47,55,61,69
"193",2,14,18,23,31,40,46,54,59,67
"194",2,14,20,24,34,39,47,54,60,66
"195",2,14,17,25,34,39,46,54,60,68
"196",2,14,18,22,32,40,47,55,60,67
"197",1,14,17,25,34,40,48,55,60,68
"198",1,14,18,24,32,40,46,54,61,68
"199",1,14,17,23,31,40,47,54,60,66
"200",2,14,18,27,34,41,48,55,61,69
"201",1,14,17,24,34,40,47,55,60,68
"202",1,14,18,24,34,40,47,53,61,68
"203",1,14,18,23,34,40,46,54,61,68
"204",2,14,18,24,31,39,47,55,60,67
"205",1,14,18,24,34,40,47,55,61,67
"206",2,14,18,22,31,39,46,54,59,67
"207",2,14,18,23,34,41,48,55,60,70
"208",1,14,17,23,34,41,48,55,61,70
"209",1,14,17,22,34,40,47,54,60,68
"210",2,14,18,27,34,40,47,55,62,68
"211",1,14,17,23,34,41,48,55,61,69
"212",1,14,18,25,34,41,48,55,62,68
"213",1,14,18,23,34,41,48,55,61,68
"214",2,14,17,23,32,40,47,55,60,68
