"range.data.ori.NU_IDADE","range.data.ori.TP_SEXO","range.data.ori.TP_COR_RACA","range.data.ori.TP_ESCOLA","range.data.ori.Q006","range.data.ori.Q027","range.data.ori.NU_NOTA_CN","range.data.ori.NU_NOTA_CH","range.data.ori.NU_NOTA_LC","range.data.ori.NU_NOTA_MT","range.data.ori.NU_NOTA_REDACAO"
10,1,0,2,1,1,0,0,0,0,0
81,2,5,4,18,6,856.4,868.3,768.2,993.9,1000
