"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"1",1,6,8,12,14,17,21,24,26,30
"2",1,6,8,11,14,18,20,24,26,30
"3",1,6,7,10,14,17,20,23,26,29
"4",1,6,8,11,15,18,21,24,26,30
"5",1,6,8,11,15,17,20,24,26,29
"6",1,6,8,11,13,17,20,23,26,29
"7",1,6,8,12,14,18,20,23,27,30
"8",1,6,8,12,14,17,21,24,27,30
"9",1,6,8,10,14,17,20,24,27,29
"10",1,6,8,10,14,17,20,23,26,29
"11",1,6,8,10,13,17,20,23,26,29
"12",1,6,8,11,14,17,21,24,27,30
"13",1,6,8,10,15,17,20,23,26,29
"14",1,6,8,11,14,18,21,24,27,30
"15",1,6,8,11,14,17,20,23,26,29
"16",1,6,8,11,14,17,20,24,26,30
"17",1,6,8,11,14,18,20,24,26,29
"18",1,6,7,11,13,17,20,23,26,29
"19",1,6,7,10,13,17,20,23,26,29
"20",1,6,8,10,15,17,20,24,26,29
"21",1,6,8,11,14,17,21,24,27,29
"22",1,6,8,10,14,17,21,24,26,30
"23",1,6,8,11,14,18,21,24,26,30
"24",1,6,8,12,14,18,21,24,27,30
"25",1,6,7,11,14,18,20,24,26,30
"26",1,6,8,10,13,17,21,23,27,30
"27",1,6,8,11,14,18,21,24,26,29
"28",1,6,8,10,14,17,20,24,26,29
"29",1,6,8,10,13,17,20,24,26,29
"30",1,6,8,12,14,17,20,23,26,29
"31",1,6,8,10,14,17,20,24,27,30
"32",1,6,7,12,15,17,20,23,26,29
"33",1,6,8,11,14,17,21,24,26,29
"34",1,6,8,11,13,17,20,24,26,29
"35",1,6,7,10,15,18,21,24,26,30
"36",1,6,7,10,14,18,20,24,26,29
"37",1,6,8,11,15,17,21,24,26,30
"38",1,6,7,11,14,17,21,24,26,30
"39",1,6,8,12,14,17,20,23,27,29
"40",1,6,7,10,13,17,20,24,26,29
"41",1,6,8,10,13,18,20,24,26,29
"42",1,6,8,12,14,18,21,24,26,30
"43",1,6,7,10,14,18,20,24,27,30
"44",1,6,8,10,14,18,20,23,26,29
"45",1,6,8,10,13,18,21,24,26,29
